CLIENT HOST	TOTAL	SUC_RATIO	NORMAL	WRONG	LOSS	DELAY
192.168.111.1:9001	3467	97.78%	3434	10	23	0
	2024-12-20 15:25:17:669 CST	DATA_seq: 11901		ACKed
	2024-12-20 15:25:17:688 CST	DATA_seq: 11901		ACKed
	2024-12-20 15:25:17:689 CST	DATA_seq: 12001		ACKed
	2024-12-20 15:25:17:715 CST	DATA_seq: 12001		ACKed
	2024-12-20 15:25:17:716 CST	DATA_seq: 12101		ACKed
	2024-12-20 15:25:17:730 CST	DATA_seq: 12201		ACKed
	2024-12-20 15:25:17:746 CST	DATA_seq: 12201		ACKed
	2024-12-20 15:25:17:746 CST	DATA_seq: 12301		ACKed
	2024-12-20 15:25:17:762 CST	DATA_seq: 12301		ACKed
	2024-12-20 15:25:17:762 CST	DATA_seq: 12401		ACKed
	2024-12-20 15:25:17:777 CST	DATA_seq: 12501		ACKed
	2024-12-20 15:25:17:793 CST	DATA_seq: 12501		ACKed
	2024-12-20 15:25:17:794 CST	DATA_seq: 12601		ACKed
	2024-12-20 15:25:17:808 CST	DATA_seq: 12601		ACKed
	2024-12-20 15:25:17:808 CST	DATA_seq: 12701		ACKed
	2024-12-20 15:25:17:824 CST	DATA_seq: 12701		ACKed
	2024-12-20 15:25:17:824 CST	DATA_seq: 12801		ACKed
	2024-12-20 15:25:17:840 CST	DATA_seq: 12801		ACKed
	2024-12-20 15:25:17:840 CST	DATA_seq: 12901		ACKed
	2024-12-20 15:25:17:856 CST	DATA_seq: 12901		ACKed
	2024-12-20 15:25:17:856 CST	DATA_seq: 13001		ACKed
	2024-12-20 15:25:17:871 CST	DATA_seq: 13101		ACKed
	2024-12-20 15:25:17:887 CST	DATA_seq: 13101		ACKed
	2024-12-20 15:25:17:887 CST	DATA_seq: 13201		ACKed
	2024-12-20 15:25:17:903 CST	DATA_seq: 13201		ACKed
	2024-12-20 15:25:17:903 CST	DATA_seq: 13301		ACKed
	2024-12-20 15:25:17:920 CST	DATA_seq: 13401		ACKed
	2024-12-20 15:25:17:934 CST	DATA_seq: 13401		ACKed
	2024-12-20 15:25:17:935 CST	DATA_seq: 13501		ACKed
	2024-12-20 15:25:17:949 CST	DATA_seq: 13501		ACKed
	2024-12-20 15:25:17:949 CST	DATA_seq: 13601		ACKed
	2024-12-20 15:25:17:965 CST	DATA_seq: 13601		ACKed
	2024-12-20 15:25:17:966 CST	DATA_seq: 13701		ACKed
	2024-12-20 15:25:17:980 CST	DATA_seq: 13701		ACKed
	2024-12-20 15:25:17:981 CST	DATA_seq: 13801		ACKed
	2024-12-20 15:25:17:996 CST	DATA_seq: 13801		ACKed
	2024-12-20 15:25:17:997 CST	DATA_seq: 13901		ACKed
	2024-12-20 15:25:18:012 CST	DATA_seq: 13901		ACKed
	2024-12-20 15:25:18:012 CST	DATA_seq: 14001		ACKed
	2024-12-20 15:25:18:027 CST	DATA_seq: 14001		ACKed
	2024-12-20 15:25:18:027 CST	DATA_seq: 14101		ACKed
	2024-12-20 15:25:18:043 CST	DATA_seq: 14101		ACKed
	2024-12-20 15:25:18:043 CST	DATA_seq: 14201		ACKed
	2024-12-20 15:25:18:059 CST	DATA_seq: 14201		ACKed
	2024-12-20 15:25:18:059 CST	DATA_seq: 14301		ACKed
	2024-12-20 15:25:18:075 CST	DATA_seq: 14301		ACKed
	2024-12-20 15:25:18:076 CST	DATA_seq: 14401		ACKed
	2024-12-20 15:25:18:090 CST	DATA_seq: 14401		ACKed
	2024-12-20 15:25:18:091 CST	DATA_seq: 14501		ACKed
	2024-12-20 15:25:18:106 CST	DATA_seq: 14601		ACKed
	2024-12-20 15:25:18:120 CST	DATA_seq: 14601		ACKed
